_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Causative Agent - 1,Causative Agent - 2
558,Centre for Addiction And Mental Health - Queen Site - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,None,2023-08-11,2023-08-18,N,NA,NA
559,Centre for Addiction And Mental Health - Queen Site - Unit CCC 3,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,None,2023-08-11,2023-08-15,N,NA,NA
560,McCall Centre - Interim LTC Unit,140 Sherway Dr,LTCH,Respiratory,Rhinovirus,None,2023-08-11,2023-08-21,N,NA,NA
561,Chartwell Lansing Retirement Residence - 2nd & 3rd Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,None,2023-08-10,2023-08-18,N,NA,NA
562,Yee Hong Centre for Geriatric Care - 4th Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2023-08-10,2023-08-29,N,NA,NA
563,Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,COVID-19,None,2023-08-09,2023-08-29,N,NA,NA
564,Villa Colombo - 2nd Fl (Fidani),40 Playfair Ave,LTCH,Respiratory,Unable to identify,None,2023-08-09,2023-08-15,N,NA,NA
565,Cummer Lodge - 2N & 3S,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2023-08-08,2023-08-30,N,NA,NA
566,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Metapneumovirus,None,2023-08-08,2023-08-16,N,NA,NA
567,Sts. Peter and Paul Residence - 4th Fl,221 Milner Ave,Retirement Home,Respiratory,Unable to identify,None,2023-08-08,2023-08-17,N,NA,NA
568,Sunnybrook Health Sciences Centre - Sunnybrook Veterans' Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,None,2023-08-08,2023-08-16,N,NA,NA
569,Sage Care Retirement Home - 3rd Fl ABC Unit,147 Elder St,Retirement Home,Respiratory,COVID-19,None,2023-08-07,2023-08-16,N,NA,NA
570,Amica On The Avenue - 3rd Fl,1066 Avenue Rd,Retirement Home,Respiratory,Rhinovirus,None,2023-08-06,2023-08-14,N,NA,NA
571,Chartwell Trilogy Long Term Care Residence - 5th Fl,340 McCowan Rd,LTCH,Respiratory,Rhinovirus,Enterovirus,2023-08-06,2023-08-19,N,NA,NA
572,Don Mills Retirement Residence - 4th & 6th Fl,2 Green Belt Dr,Retirement Home,Respiratory,Unable to identify,None,2023-08-06,2023-08-15,N,NA,NA
573,The Wexford - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,None,2023-08-04,2023-08-14,N,NA,NA
574,Copernicus Lodge - 1st Fl,66 Roncesvalles Ave,LTCH,Enteric,Norovirus,None,2023-08-03,2023-08-20,N,NA,NA
575,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-08-03,2023-08-17,N,NA,NA
576,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,None,2023-08-02,2023-08-10,N,NA,NA
577,Harmony Hills Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,None,2023-08-01,2023-08-09,N,NA,NA
578,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-08-01,2023-08-15,N,NA,NA
579,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Unable to identify,None,2023-07-31,2023-08-08,N,NA,NA
580,Hawthorne Place Care Centre - 2nd & 3rd Fl,2045 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2023-07-31,2023-08-21,N,NA,NA
581,Midland Gardens Care Community - 2nd & 4th Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,Parainfluenza,2023-07-31,2023-08-21,N,NA,NA
582,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-07-30,2023-08-22,N,NA,NA
583,Valleyview Residence - 4 West,541 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2023-07-30,2023-08-15,N,NA,NA
584,Hellenic Home For The Aged - Ground Fl Unit,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,None,2023-07-29,2023-08-21,N,NA,NA
585,Hawthorne Place Care Centre - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2023-07-28,2023-08-11,N,NA,NA
586,St. Bernard's Residence - 2nd & 3rd Fl,685 Finch Ave W,Retirement Home,Respiratory,Rhinovirus,None,2023-07-26,2023-08-08,N,NA,NA
587,Extendicare Rouge Valley - BSU,551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2023-07-25,2023-08-24,N,NA,NA
588,Sinai Health System - Hennick Bridgepoint - 9 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-07-25,2023-08-01,N,NA,NA
589,Fairview Nursing Home - 2nd Fl,14 Cross St,LTCH,Respiratory,Rhinovirus,None,2023-07-24,2023-08-05,N,NA,NA
590,Carefree Lodge,306 Finch Ave E,LTCH,Respiratory,Enterovirus,Rhinovirus,2023-07-23,2023-08-07,N,NA,NA
591,The Village Of Humber Heights - Wadsworth Neighborhood,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,None,2023-07-23,2023-08-14,N,NA,NA
592,The Teddington - 5th Fl,4 Teddington Park Ave,Retirement Home,Respiratory,COVID-19,None,2023-07-22,2023-07-31,N,NA,NA
593,Westside - 4th Fl East Wing,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,None,2023-07-21,2023-08-04,N,NA,NA
594,"Craiglee Nursing Home - 2 East, 3 East & 3 West",102 Craiglee Dr,LTCH,Respiratory,COVID-19,None,2023-07-20,2023-08-04,N,NA,NA
595,Rockcliffe Care Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,None,2023-07-20,2023-07-31,N,NA,NA
596,Cummer Lodge - 3rd Fl,205 Cummer Ave,LTCH,Respiratory,Metapneumovirus,None,2023-07-19,2023-08-04,N,NA,NA
597,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-07-19,2023-08-16,N,NA,NA
598,Kensington Gardens - The Kensington Health Centre - North Building,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,Parainfluenza,2023-07-19,2023-08-29,N,NA,NA
599,Queens Estate Retirement Residence - 3rd & 4th Fl,265 Queens Dr,Retirement Home,Respiratory,COVID-19,None,2023-07-19,2023-08-09,N,NA,NA
600,Kensington Gardens - The Kensington Health Centre - 3rd Fl,25 Brunswick Ave,LTCH,Enteric,Unable to identify,None,2023-07-18,2023-07-23,N,NA,NA
601,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave East,LTCH,Respiratory,COVID-19,None,2023-07-17,2023-07-31,N,NA,NA
602,William Osler Health System - 7E (Cardiology Unit),101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,None,2023-07-17,2023-07-21,N,NA,NA
603,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,None,2023-07-14,2023-07-21,N,NA,NA
604,UHN - Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,None,2023-07-13,2023-08-02,N,NA,NA
605,Extendicare Bayview - South & East Unit,550 Cummer Ave,LTCH,Respiratory,Parainfluenza,None,2023-07-12,2023-08-02,N,NA,NA
606,Fountainview Care Community - 3rd Fl,1800 O'Connor Dr,LTCH,Enteric,Unable to identify,None,2023-07-12,2023-07-19,N,NA,NA
607,Terraces of Baycrest,55 Ameer Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2023-07-12,2023-07-22,N,NA,NA
608,Extendicare Bayview - East & South Units,550 Cummer Ave,LTCH,Respiratory,COVID-19,None,2023-07-11,2023-07-26,N,NA,NA
609,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,COVID-19,None,2023-07-11,2023-07-24,N,NA,NA
610,Weston Terrace Care Community - 1A & 2A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2023-07-11,2023-08-11,N,NA,NA
611,Mon Sheong Scarborough Long Term Care Centre - 4th Fl (SPH Unit),2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2023-07-10,2023-07-20,N,NA,NA
612,Midland Gardens Care Community - 3rd Fl South,130 Midland Ave,LTCH,Respiratory,Rhinovirus,None,2023-07-09,2023-07-24,N,NA,NA
613,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,COVID-19,None,2023-07-08,2023-08-03,N,NA,NA
614,Villa Colombo - Unit 5 Fidani,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,None,2023-07-07,2023-08-03,N,NA,NA
615,The Wexford - 6th & 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2023-07-05,2023-07-21,N,NA,NA
616,Kensington Gardens - 1W (North),45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,None,2023-07-04,2023-07-16,N,NA,NA
617,Labdara Lithuanian Nursing Home - Unit 2,5 Resurrection Rd,LTCH,Respiratory,Rhinovirus,None,2023-07-04,2023-07-22,N,NA,NA
618,St. Clair O'Connor Community Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,None,2023-07-04,2023-07-13,N,NA,NA
619,North York General Hospital - Seniors' Health Centre - 1st & 2nd Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,None,2023-07-03,2023-07-20,N,NA,NA
620,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2023-07-01,2023-07-12,N,NA,NA
621,Delmanor Prince Edward - 4th Fl,4180 Dundas Street W,Retirement Home,Respiratory,COVID-19,None,2023-06-30,2023-07-12,N,NA,NA
622,"Extendicare Rouge Valley - Morish House, 3rd Fl Unit",551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2023-06-30,2023-07-27,N,NA,NA
623,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus*,None,2023-06-30,2023-07-08,N,NA,NA
624,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,None,2023-06-29,2023-07-06,N,NA,NA
625,Retirement Suites By The Lake - 2nd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,None,2023-06-28,2023-07-06,N,NA,NA
626,Kensington Gardens - The Kensington Health Centre - Unit 2,45 Brunswick Ave,LTCH,Respiratory,Metapneumovirus,None,2023-06-27,2023-07-05,N,NA,NA
627,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-06-27,2023-07-05,N,NA,NA
628,The Jewish Home for the Aged - 5EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-06-27,2023-07-09,N,NA,NA
629,Kennedy Lodge - 2 North,1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,None,2023-06-26,2023-07-06,N,NA,NA
630,Runnymede Healthcare Centre - 4E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-06-26,2023-07-03,N,NA,NA
631,Villa Colombo Homes for the Aged - 2 Fusco North,40 Playfair Ave,LTCH,Respiratory,Enterovirus,Rhinovirus,2023-06-26,2023-07-04,N,NA,NA
632,Amica Bayview Gardens - 3rd Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,None,2023-06-25,2023-07-08,N,NA,NA
633,Unity Health Toronto - Houses of Providence - HOP 1 East - Redwood,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-06-23,2023-07-04,N,NA,NA
634,Tendercare Living Centre - 2 East & 3rd Fl,1020 Mcnicoll Ave,LTCH,Respiratory,Parainfluenza,None,2023-06-21,2023-07-14,N,NA,NA
635,Chartwell Trilogy Long Term Care Residence - 7th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus*,None,2023-06-17,2023-06-27,N,NA,NA
636,Humber Meadows Long-Term Care Home - 4th Fl Cardinal North Unit,2109 Finch Ave W,LTCH,Enteric,Unable to identify,None,2023-06-17,2023-06-26,N,NA,NA
637,Unity Health Toronto - Providence - B4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-06-16,2023-06-22,N,NA,NA
638,"Villa Colombo Homes for the Aged - 2 Fusco West, South & North",40 Playfair Ave,LTCH,Respiratory,COVID-19,None,2023-06-16,2023-07-04,N,NA,NA
639,Fieldstone Commons Care Community - 2A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,None,2023-06-15,2023-07-01,N,NA,NA
640,Unity Health Toronto - Houses of Providence - HOP 1NE - Birch,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-06-15,2023-06-27,N,NA,NA
641,Donway Place - 3rd & 4th Fl,8 The Donway E,Retirement Home,Respiratory,Rhinovirus,Enterovirus,2023-06-14,2023-07-05,N,NA,NA
642,"Scarborough Retirement Residence - 2nd, 3rd, 6th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2023-06-13,2023-07-13,N,NA,NA
643,Chartwell Guildwood Retirement Residence - 2nd Fl (Memory Living),65 Livingston Rd,Retirement Home,Respiratory,COVID-19,None,2023-06-12,2023-06-26,N,NA,NA
644,Unity Health Toronto - Houses of Providence - HOP 2NW - Pine,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-06-10,2023-06-20,N,NA,NA
645,Unity Health Toronto - Houses of Providence - HOP 2E - Spruce,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-06-09,2023-06-15,N,NA,NA
646,Weston Terrace Care Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2023-06-09,2023-06-28,N,NA,NA
647,Delmanor Prince Edward - 3rd & 5th Fl,4180 Dundas Street W,Retirement Home,Respiratory,COVID-19,None,2023-06-08,2023-06-28,N,NA,NA
648,Donway Place - North York - 2nd & 3rd Fl,8 The Donway E,Retirement Home,Respiratory,COVID-19,None,2023-06-07,2023-06-21,N,NA,NA
649,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (H1N1),None,2023-06-07,2023-06-27,N,NA,NA
650,"Norfinch Care Community - Unit 1A, 2A, 2B & 3A",22 Norfinch Dr,LTCH,Respiratory,COVID-19,None,2023-06-07,2023-07-20,N,NA,NA
651,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Unable to identify,None,2023-06-05,2023-06-12,N,NA,NA
652,Harmony Hills Care Community - 1A (Melody Lane) & 3A (Rainbow Valley),1800 O'Connor Drive,LTCH,Respiratory,COVID-19,None,2023-06-05,2023-06-16,N,NA,NA
653,Scarborough Retirement Residence - 4th Fl,148 Markham Rd,Retirement Home,Respiratory,Rhinovirus,None,2023-06-05,2023-06-12,N,NA,NA
654,Unity Health Toronto - Houses of Providence - HOP 2E - Chestnut,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-06-05,2023-06-16,N,NA,NA
655,McNicoll Manor/Moll Berczy Haus - 4 West,1020 McNicoll Ave,Retirement Home,Respiratory,COVID-19,None,2023-06-04,2023-06-14,N,NA,NA
656,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,None,2023-06-03,2023-06-15,N,NA,NA
657,Fudger House - 2 West,439 Sherbourne St,LTCH,Respiratory,COVID-19,None,2023-06-02,2023-06-12,N,NA,NA
658,"Yee Hong Centre - Scarborough Finch - 5th Fl, South",60 Scottfield Dr,LTCH,Respiratory,COVID-19,None,2023-06-01,2023-06-08,N,NA,NA
659,Dom Lipa - West 1 & West 2,52 Neilson Drive,LTCH,Respiratory,COVID-19,None,2023-05-31,2023-06-20,N,NA,NA
660,Extendicare Scarborough - 1st & 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,None,2023-05-31,2023-06-10,N,NA,NA
661,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,LTCH,Respiratory,COVID-19,None,2023-05-31,2023-06-22,N,NA,NA
662,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,None,2023-05-31,2023-06-15,N,NA,NA
663,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,COVID-19,None,2023-05-30,2023-06-19,N,NA,NA
664,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2023-05-30,2023-06-09,N,NA,NA
665,William Osler Health System - RCC Church - 5th Fl,200 Church Street,Transitional Care,Respiratory,COVID-19,None,2023-05-30,2023-06-06,N,NA,NA
666,Cedarvale Terrace - 3rd & 5th Fl,429 Walmer Road,LTCH,Respiratory,COVID-19,None,2023-05-29,2023-06-27,N,NA,NA
667,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-05-29,2023-06-07,N,NA,NA
668,North York General Hospital - General Site - 5 West,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,None,2023-05-28,2023-06-14,N,NA,NA
669,Terraces of Baycrest - 6th Fl,55 Ameer Ave,LTCH,Respiratory,COVID-19,None,2023-05-27,2023-06-03,N,NA,NA
670,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2023-05-27,2023-06-03,N,NA,NA
671,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Unable to identify,None,2023-05-26,2023-06-04,N,NA,NA
672,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Respiratory,COVID-19,None,2023-05-26,2023-06-22,N,NA,NA
673,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Coronavirus*,Respiratory syncytial virus,2023-05-26,2023-06-19,N,NA,NA
674,Unity Health Toronto - Providence - D3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-05-26,2023-06-01,N,NA,NA
675,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-05-25,2023-06-16,N,NA,NA
676,Belmont House,55 Belmont St,Retirement Home,Enteric,Norovirus,None,2023-05-24,2023-06-06,N,NA,NA
677,North York General Hospital - Seniors' Health Centre - 3rd Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,None,2023-05-24,2023-06-03,N,NA,NA
678,Centre for Addiction and Mental Health - Queen Street Site - PRT 6,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-05-23,2023-06-02,N,NA,NA
679,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,None,2023-05-23,2023-06-01,N,NA,NA
680,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,None,2023-05-23,2023-06-04,N,NA,NA
681,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,None,2023-05-23,2023-05-31,N,NA,NA
682,Delmanor Wynford,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,None,2023-05-22,2023-05-31,N,NA,NA
683,Hellenic Home - 3A,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-05-22,2023-06-07,N,NA,NA
684,Fairview Nursing Home - 1st Fl,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,None,2023-05-21,2023-05-29,N,NA,NA
685,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-5,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-05-17,2023-05-30,N,NA,NA
686,Craiglee Nursing Home - 2 East,102 Craiglee Dr,LTCH,Respiratory,COVID-19,None,2023-05-17,2023-05-31,N,NA,NA
687,Retirement Suites by the Lake - 2nd & 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,None,2023-05-17,2023-05-30,N,NA,NA
688,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Respiratory,COVID-19,None,2023-05-16,2023-06-23,N,NA,NA
689,Castleview Wychwood Towers - 4W,351 Christie St,LTCH,Respiratory,COVID-19,None,2023-05-15,2023-05-29,N,NA,NA
690,Midland Gardens Care Community - 2nd & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus*,Metapneumovirus,2023-05-15,2023-05-30,N,NA,NA
691,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-05-13,2023-05-29,N,NA,NA
692,Jewish Home for the Aged - 6RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-05-13,2023-05-23,N,NA,NA
693,TEHN - Atrium At Kew Beach - MGH Affiliated Unit - 2nd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Metapneumovirus,None,2023-05-12,2023-05-18,N,NA,NA
694,University Health Network - Toronto Western - 5B,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,None,2023-05-12,2023-05-26,N,NA,NA
695,Sunnybrook Health Sciences Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus*,None,2023-05-11,2023-05-27,N,NA,NA
696,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,COVID-19,None,2023-05-10,2023-05-16,N,NA,NA
697,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,COVID-19,None,2023-05-09,2023-05-20,N,NA,NA
698,"Leaside Retirement Residence - 2nd Fl, 3rd Fl (MC) & 7th Fl Building 10",10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,None,2023-05-09,2023-06-01,N,NA,NA
699,Belmont House,55 Belmont Street,Retirement Home,Respiratory,COVID-19,None,2023-05-08,2023-05-15,N,NA,NA
700,Holland Bloorview Kids Rehabilitation Hospital - SODR (Rehab),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Parainfluenza PIV III,None,2023-05-08,2023-05-12,N,NA,NA
701,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-3,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-05-05,2023-05-18,N,NA,NA
702,Fairview Nursing Home - 3rd Fl,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,None,2023-05-05,2023-05-16,N,NA,NA
703,"Fudger House - 1E, 1W, 2E & 3E",439 Sherbourne St,LTCH,Respiratory,COVID-19,None,2023-05-04,2023-06-01,N,NA,NA
704,Scarborough Health Network - General Hospital - T7 - Med,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,None,2023-05-04,2023-05-17,N,NA,NA
705,"Scarborough Retirement Residence - 2nd, 4th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus*,Parainfluenza,2023-05-04,2023-05-23,N,NA,NA
706,"Chester Village - 2E, 3E, 4E, 1W & 2W",3555 Danforth Ave,LTCH,Respiratory,COVID-19,None,2023-05-03,2023-06-15,N,NA,NA
707,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Metapneumovirus,None,2023-05-02,2023-05-18,N,NA,NA
708,North York General Hospital - Seniors' Health Centre - 2nd & 4th Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,None,2023-05-02,2023-05-24,N,NA,NA
709,Lakeside Long Term Care Centre - 2nd & 3rd Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,None,2023-05-01,2023-05-18,N,NA,NA
710,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,None,2023-05-01,2023-06-14,N,NA,NA
711,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,COVID-19,None,2023-05-01,2023-05-16,N,NA,NA
712,Eatonville Care Centre - Unit 2 & 4,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,None,2023-04-30,2023-05-11,N,NA,NA
713,Villa Colombo Homes for the Aged - 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,None,2023-04-29,2023-05-08,N,NA,NA
714,Aspira Kensington Place Retirement Living - 6th Fl,866 Sheppard Ave,Retirement Home,Respiratory,Coronavirus*,Rhinovirus,2023-04-28,2023-05-11,N,NA,NA
715,Christie Gardens - Annex Neighbourhood & Seaton Neighbourhood,600 Melita Cres,LTCH,Respiratory,COVID-19,None,2023-04-28,2023-05-15,N,NA,NA
716,The Village Of Humber Heights - Islington,2245 Lawrence Ave W,LTCH,Respiratory,Metapneumovirus,None,2023-04-28,2023-05-15,N,NA,NA
717,Unity Health Toronto - St. Joseph's Health Centre - CYSTO Department,30 The Queensway,Hospital-Acute Care,Enteric,Unable to identify,None,2023-04-28,2023-05-03,N,NA,NA
718,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,None,2023-04-27,2023-05-08,N,NA,NA
719,Baycrest Hospital - North York - 6 West,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-04-26,2023-05-04,N,NA,NA
720,Centre for Addiction And Mental Health - GAU-A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Streptococcus pyogenes,None,2023-04-26,2023-05-15,N,NA,NA
721,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,COVID-19,None,2023-04-26,2023-05-08,N,NA,NA
722,One Kenton Place - 3rd Fl,1-3 Kenton Dr,Retirement Home,Respiratory,COVID-19,None,2023-04-26,2023-05-04,N,NA,NA
